product,product_group,product_type,franchise,gender,margin,yearly_targets,daily_targets,country,channel,rrp,sales_qty,discount,sales,cost price,profit,date,image_url
Product VVTEV,Group B,Type Y,Franchise C,M,0.3,300000,821.9178082,Country A,Channel X,30,332,0.1,4714,1703.076923,510.9230769,03-02-2022,http://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg
Product 54KFD,Group A,Type Y,Franchise C,M,0.1,300000,821.9178082,Country B,Channel X,10,277,0.15,2729.5,208.6363636,20.86363636,16-03-2022,http://assets.myntassets.com/v1/image/style/properties/51832/Bwitch-Beige-Full-Coverage-Bra-BW335_1_d516fa94f14f0a5ecc90df7754390eb5.jpg
Product 19BM2,Group B,Type Z,Franchise B,M,0.2,200000,547.9452055,Country C,Channel Y,30,337,0.15,4718.5,1848.75,369.75,17-07-2022,http://assets.myntassets.com/v1/images/style/properties/b14c7bf275c6edca3e849200fb7cbf6c_images.jpg
Product DV9R7,Group B,Type Z,Franchise A,M,0.3,300000,821.9178082,Country C,Channel Y,10,324,0.05,3203,540.7692308,162.2307692,24-11-2022,http://assets.myntassets.com/assets/images/17429/2018/3/5/11520250143953-CASIO-G-Shock-Men-Black-Digital-Watch-G223-8211520250143786-1.jpg
Product NX8FG,Group B,Type X,Franchise B,M,0.2,300000,821.9178082,Country C,Channel Y,20,296,0.15,3282,651.6666667,130.3333333,22-10-2022,http://assets.myntassets.com/v1/images/style/properties/c5a22e9ccf9b10e0a89ffbbf3e386584_images.jpg
Product UJK22,Group B,Type Z,Franchise A,M,0.3,200000,547.9452055,Country A,Channel Z,20,262,0.05,2728,175.3846154,52.61538462,11-12-2022,http://assets.myntassets.com/v1/images/style/properties/92589dc7416b70f1a5c6a4c1f13d14e3_images.jpg
Product E9YLT,Group C,Type Y,Franchise B,M,0.1,300000,821.9178082,Country A,Channel Y,10,258,0.05,2576,69.09090909,6.909090909,30-01-2022,http://assets.myntassets.com/v1/images/style/properties/59912a0287751ff0475c8748dbcf4ea0_images.jpg
Product NHVX0,Group B,Type Z,Franchise C,M,0.2,200000,547.9452055,Country C,Channel Z,10,264,0.1,2626,105,21,29-07-2022,http://assets.myntassets.com/v1/images/style/properties/3295fc148576955745c0b259d7968727_images.jpg
Product MC1YP,Group C,Type Y,Franchise B,M,0.3,200000,547.9452055,Country B,Channel Y,10,258,0.05,2576,58.46153846,17.53846154,10-02-2022,http://assets.myntassets.com/v1/images/style/properties/06edc2da9c6d103d299e5e8dafc5b6b9_images.jpg
Product 0E348,Group C,Type X,Franchise B,M,0.3,300000,821.9178082,Country B,Channel X,20,320,0.05,3830,1023.076923,306.9230769,06-01-2022,http://assets.myntassets.com/v1/images/style/properties/Pitaraa-Women-Golden-Brass-Bead-Bracelet_179aa06939858b54e8e6c80fe12d94d5_images.jpg
Product HRRFU,Group A,Type Z,Franchise C,M,0.3,200000,547.9452055,Country A,Channel Z,20,326,0.15,3792,993.8461538,298.1538462,03-02-2022,http://assets.myntassets.com/v1/images/style/properties/296a8c388d05d67346db88af27d3b763_images.jpg
Product N266Q,Group B,Type Y,Franchise A,M,0.1,100000,273.9726027,Country A,Channel Y,30,339,0.15,4769.5,2063.181818,206.3181818,09-03-2022,http://assets.myntassets.com/assets/images/56019/2019/1/11/49d718c4-6d86-42d1-8d00-1ce4b7851b2c1547190759839-Colorbar-Soft-Touch-Show-Stopper-Copper-Lipstick-037-2715471-1.jpg
Product Y2O21,Group C,Type Z,Franchise C,M,0.3,200000,547.9452055,Country C,Channel Y,20,292,0.05,3298,613.8461538,184.1538462,23-11-2022,http://assets.myntassets.com/v1/images/style/properties/88d0bc675d72477729f38c30332e749a_images.jpg
Product 547JB,Group A,Type Z,Franchise B,M,0.3,300000,821.9178082,Country B,Channel Z,20,312,0.1,3616,858.4615385,257.5384615,28-02-2022,http://assets.myntassets.com/v1/images/style/properties/3af9f145845d8453a066322de35980af_images.jpg
Product G3M06,Group B,Type Z,Franchise B,M,0.1,100000,273.9726027,Country C,Channel Z,30,324,0.05,4609,1917.272727,191.7272727,28-02-2022,http://assets.myntassets.com/v1/images/style/properties/0108969213975af06095ff84a0ec0c72_images.jpg
Product 45Z3V,Group C,Type X,Franchise A,M,0.3,200000,547.9452055,Country C,Channel Z,10,256,0.1,2554,41.53846154,12.46153846,12-07-2022,http://assets.myntassets.com/v1/images/style/properties/John-Players-Men-Brown-Shirt_7eec3b0568f65dc8f39a534376538551_images.jpg
Product UG969,Group B,Type Y,Franchise B,M,0.2,300000,821.9178082,Country B,Channel X,10,274,0.05,2728,190,38,08-09-2022,http://assets.myntassets.com/v1/images/style/properties/9c3d77147758ab10f12caf6184fe13ef_images.jpg
Product OSJX6,Group C,Type X,Franchise A,M,0.2,200000,547.9452055,Country A,Channel Z,10,310,0.15,3010,425,85,10-01-2022,http://assets.myntassets.com/v1/images/style/properties/Carlton-London-Women-Black-Gladiator-Sandals_b8f695202ccc1889f65d57b4000a888f_images.jpg
Product 5NEH3,Group C,Type X,Franchise A,M,0.1,200000,547.9452055,Country A,Channel Y,30,300,0.15,3775,1159.090909,115.9090909,17-07-2022,http://assets.myntassets.com/v1/images/style/properties/08a0c29d2ea67ca9449aa54466f6b0a1_images.jpg
Product SYV7Z,Group B,Type Z,Franchise A,M,0.3,200000,547.9452055,Country A,Channel X,20,312,0.15,3554,810.7692308,243.2307692,24-10-2022,http://assets.myntassets.com/v1/images/style/properties/Rocky-S-Women-White-Handbag_1440a0abd2ddaf3199965e604831b164_images.jpg
Product YY7QM,Group A,Type X,Franchise C,M,0.1,100000,273.9726027,Country C,Channel Y,20,258,0.15,2636,123.6363636,12.36363636,14-01-2022,http://assets.myntassets.com/v1/images/style/properties/8b58c65e5634233b165c40cdbbcf58b8_images.jpg
Product VKY10,Group B,Type X,Franchise A,M,0.3,300000,821.9178082,Country B,Channel X,10,343,0.15,3290.5,608.0769231,182.4230769,06-01-2022,http://assets.myntassets.com/v1/images/style/properties/072af0cd079f20296c72f3594a21f141_images.jpg
Product A28LN,Group B,Type Z,Franchise C,M,0.2,200000,547.9452055,Country C,Channel Z,30,284,0.1,3418,765,153,17-09-2022,http://assets.myntassets.com/v1/images/style/properties/b56e261f9206aa95e42c43f4e62d0e5a_images.jpg
Product VGRQV,Group A,Type X,Franchise C,M,0.1,100000,273.9726027,Country A,Channel Z,10,285,0.05,2832.5,302.2727273,30.22727273,02-09-2022,http://assets.myntassets.com/v1/images/style/properties/Peter-England-Men-Formal-Black-Beltbc472bd919c505690ecbc1eed8af7fbf_images.jpg
Product RZHRS,Group C,Type X,Franchise B,M,0.3,200000,547.9452055,Country A,Channel Y,30,259,0.15,2729.5,176.5384615,52.96153846,16-08-2022,http://assets.myntassets.com/v1/images/style/properties/94a9deea53125663d9bbe61cb38b84b4_images.jpg
Product M39OJ,Group A,Type Y,Franchise A,M,0.2,100000,273.9726027,Country C,Channel X,30,292,0.15,3571,892.5,178.5,15-04-2022,http://assets.myntassets.com/v1/images/style/properties/93aa34922c6446706c003ba2255747f5_images.jpg
Product SD9MD,Group C,Type Y,Franchise A,M,0.2,300000,821.9178082,Country A,Channel Z,10,277,0.15,2729.5,191.25,38.25,01-11-2022,http://assets.myntassets.com/v1/images/style/properties/df0a23e732654c5e7db3888e39393e79_images.jpg
Product O19G5,Group A,Type Z,Franchise C,M,0.2,100000,273.9726027,Country C,Channel Y,20,295,0.15,3265,637.5,127.5,27-01-2022,http://assets.myntassets.com/v1/images/style/properties/0d2e2ceaaf6d09d447caad678b2edbe6_images.jpg
Product 60G9V,Group B,Type Y,Franchise B,M,0.3,300000,821.9178082,Country B,Channel X,10,324,0.1,3166,512.3076923,153.6923077,13-02-2022,http://assets.myntassets.com/v1/images/style/properties/4eff2353c62ec8b7bca9fbbaf5996bd2_images.jpg
Product ZZ2WT,Group C,Type Z,Franchise A,M,0.3,100000,273.9726027,Country C,Channel X,10,304,0.15,2959,353.0769231,105.9230769,09-11-2022,http://assets.myntassets.com/v1/images/style/properties/91ca48e3204f23cd376fad7f186875bf_images.jpg
Product 12F9M,Group C,Type X,Franchise B,M,0.3,300000,821.9178082,Country A,Channel X,10,268,0.05,2671,131.5384615,39.46153846,19-01-2022,http://assets.myntassets.com/v1/images/style/properties/155353efc674d253e30c213ca07bbb0b_images.jpg
Product 8ZMW2,Group A,Type X,Franchise C,M,0.3,100000,273.9726027,Country B,Channel X,10,255,0.15,2542.5,32.69230769,9.807692308,06-11-2022,http://assets.myntassets.com/v1/images/style/properties/5e557eb0be7c6420f7c7a6bbaa432993_images.jpg
Product 580EE,Group C,Type Z,Franchise A,M,0.2,300000,821.9178082,Country B,Channel Z,20,330,0.05,4020,1266.666667,253.3333333,18-07-2022,http://assets.myntassets.com/v1/images/style/properties/2eb3aa5eefb3319f10f7815100a18e3c_images.jpg
Product JN4A8,Group C,Type Z,Franchise A,M,0.2,200000,547.9452055,Country A,Channel Y,30,347,0.05,5264.5,2303.75,460.75,15-03-2022,http://assets.myntassets.com/v1/images/style/properties/676dd802241d46a5ce28c78d1dabbc5a_images.jpg
Product C0AQD,Group B,Type Z,Franchise C,M,0.2,300000,821.9178082,Country C,Channel X,20,341,0.15,4047,1289.166667,257.8333333,22-11-2022,http://assets.myntassets.com/v1/images/style/properties/2976e4095e7b3ae2de99df54d2adeaaa_images.jpg
Product HD45X,Group C,Type Z,Franchise B,M,0.3,300000,821.9178082,Country A,Channel X,10,343,0.15,3290.5,608.0769231,182.4230769,06-04-2022,http://assets.myntassets.com/v1/images/style/properties/fee54b57fcd02b7c07d42b0918025099_images.jpg
Product 4PRNW,Group A,Type Y,Franchise A,M,0.2,200000,547.9452055,Country C,Channel Z,10,329,0.05,3250.5,625.4166667,125.0833333,25-11-2022,http://assets.myntassets.com/v1/images/style/properties/Playboy-Men-Blue-Titanium-Briefs_5c63c52edabbab43f6aefc52842d73f2_images.jpg
Product AXURE,Group B,Type Y,Franchise B,M,0.1,200000,547.9452055,Country B,Channel Z,10,291,0.15,2848.5,316.8181818,31.68181818,22-02-2022,http://assets.myntassets.com/v1/images/style/properties/Arrow-Men-Black-Formal-Shoes_70a3c7c185338a5636c8c0e668829bb6_images.jpg
Product 7CORT,Group A,Type Z,Franchise B,M,0.2,100000,273.9726027,Country B,Channel Z,20,304,0.1,3472,810,162,14-09-2022,http://assets.myntassets.com/v1/images/style/properties/02e4e32cd9d09052f0ec3d46fa747d39_images.jpg
Product S83BZ,Group A,Type Y,Franchise A,M,0.1,300000,821.9178082,Country A,Channel Y,20,336,0.05,4134,1485.454545,148.5454545,18-11-2022,http://assets.myntassets.com/v1/images/style/properties/206a0614c4644cd8816576efd47d60d8_images.jpg
Product RNY6M,Group C,Type Z,Franchise C,M,0.3,200000,547.9452055,Country A,Channel Z,20,306,0.1,3508,775.3846154,232.6153846,25-03-2022,http://assets.myntassets.com/v1/images/style/properties/1aae016d0abb224cfc18e6bd9bb01ad1_images.jpg
Product DVCSN,Group A,Type X,Franchise C,M,0.1,200000,547.9452055,Country C,Channel Z,10,270,0.05,2690,172.7272727,17.27272727,27-11-2022,http://assets.myntassets.com/v1/images/style/properties/b2959d44db543af13d78492225a830de_images.jpg
Product 3Y073,Group A,Type X,Franchise C,M,0.2,100000,273.9726027,Country B,Channel Y,10,262,0.05,2614,95,19,16-12-2022,http://assets.myntassets.com/v1/images/style/properties/b34550bc6415dcd66892de4ef2837fd9_images.jpg
Product Y0U90,Group A,Type X,Franchise B,M,0.1,200000,547.9452055,Country A,Channel Y,20,309,0.1,3562,965.4545455,96.54545455,21-02-2022,http://assets.myntassets.com/v1/images/style/properties/FNF-Green-Collection-for-Wedding-Wear-Sari_6c60eef0b8d9cff87cfcd1f73953e5cd_images.jpg
Product 1EG1P,Group C,Type Z,Franchise A,M,0.2,300000,821.9178082,Country B,Channel X,30,330,0.15,4540,1700,340,28-11-2022,http://assets.myntassets.com/v1/images/style/properties/cd16e955e4b6b3f9d7089c15652a3f00_images.jpg
Product U34U2,Group B,Type Z,Franchise C,M,0.1,300000,821.9178082,Country B,Channel X,30,319,0.15,4259.5,1599.545455,159.9545455,12-04-2022,http://assets.myntassets.com/v1/images/style/properties/b8024bdd3fc47c2b20bd840f89811979_images.jpg
Product F0LN5,Group B,Type Z,Franchise B,M,0.1,100000,273.9726027,Country C,Channel X,10,282,0.15,2772,247.2727273,24.72727273,19-11-2022,http://assets.myntassets.com/v1/images/style/properties/97d3bb4a71c9f7da88305ce9144d8576_images.jpg
Product QWPCM,Group C,Type Z,Franchise C,M,0.3,200000,547.9452055,Country B,Channel Z,30,268,0.05,3013,394.6153846,118.3846154,07-07-2022,http://assets.myntassets.com/v1/images/style/properties/70e74ca34b3b534b19d6b006d5bfad0a_images.jpg
Product W8JKV,Group B,Type Z,Franchise B,M,0.3,300000,821.9178082,Country C,Channel X,30,318,0.1,4336,1412.307692,423.6923077,21-07-2022,http://assets.myntassets.com/v1/images/style/properties/49f884ddf4420d869ad143857d3bc33d_images.jpg
Product UF9QM,Group C,Type Y,Franchise A,M,0.3,300000,821.9178082,Country C,Channel Y,10,323,0.1,3157,505.3846154,151.6153846,11-04-2022,http://assets.myntassets.com/v1/images/style/properties/438c41900a80acabb3ef197f0559a9eb_images.jpg
Product IRUL6,Group C,Type Y,Franchise C,M,0.1,100000,273.9726027,Country B,Channel Y,10,296,0.05,2937,397.2727273,39.72727273,20-03-2022,http://assets.myntassets.com/v1/images/style/properties/0707b75d2d44e9cec9d27c944294ddbe_images.jpg
Product UPRC8,Group A,Type X,Franchise A,M,0.2,300000,821.9178082,Country A,Channel Z,20,310,0.1,3580,900,180,29-09-2022,http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-green-Men-Blue-Shorts_40b6775eae62124195817a64d4ae4a93_images.jpg
Product GC0SC,Group A,Type Y,Franchise C,M,0.3,300000,821.9178082,Country B,Channel Y,10,330,0.15,3180,523.0769231,156.9230769,11-03-2022,http://assets.myntassets.com/v1/images/style/properties/6a6ebc47eaf2fe034bcfd94060a285ba_images.jpg
Product D3URY,Group C,Type Y,Franchise C,M,0.2,300000,821.9178082,Country C,Channel Z,30,341,0.15,4820.5,1933.75,386.75,27-06-2022,http://assets.myntassets.com/v1/images/style/properties/73bc7d63943231e4df1c7b7600496a3d_images.jpg
Product 7U7NZ,Group B,Type Y,Franchise C,M,0.2,100000,273.9726027,Country C,Channel X,30,336,0.15,4693,1827.5,365.5,27-12-2022,http://assets.myntassets.com/v1/images/style/properties/Vans-Men-Khaki-Shoes_dcaf7c703e9c0396650529df2b2a8893_images.jpg
Product EU0YE,Group C,Type Z,Franchise A,M,0.3,300000,821.9178082,Country B,Channel Y,10,255,0.05,2547.5,36.53846154,10.96153846,29-12-2022,http://assets.myntassets.com/v1/images/style/properties/0be615f02ae1f1cfe78155555a79007c_images.jpg
Product JTJ0F,Group A,Type Y,Franchise A,M,0.1,100000,273.9726027,Country B,Channel Y,20,263,0.1,2734,212.7272727,21.27272727,20-12-2022,http://assets.myntassets.com/v1/images/style/properties/135f9aa8141d682fc218393049c70324_images.jpg
Product 7AS3J,Group C,Type Y,Franchise A,M,0.1,100000,273.9726027,Country A,Channel Y,20,259,0.1,2662,147.2727273,14.72727273,11-03-2022,http://assets.myntassets.com/v1/images/style/properties/fcd52c6506b43f3af116a62c2ea81204_images.jpg
Product J6QXQ,Group A,Type Y,Franchise A,M,0.2,100000,273.9726027,Country A,Channel Z,20,292,0.15,3214,595,119,10-01-2022,http://assets.myntassets.com/v1/images/style/properties/eba1c1b241555d8afa3f7232ed2c6933_images.jpg
Product AR3DO,Group B,Type Z,Franchise C,M,0.2,300000,821.9178082,Country B,Channel X,10,347,0.05,3421.5,767.9166667,153.5833333,28-08-2022,http://assets.myntassets.com/v1/images/style/properties/8d6fd53f28e010658cdf5c14c43d0cb0_images.jpg
Product JAEPM,Group A,Type Z,Franchise A,M,0.3,100000,273.9726027,Country B,Channel X,30,338,0.05,5008,1929.230769,578.7692308,23-04-2022,http://assets.myntassets.com/v1/images/style/properties/4d90e05b9e99e203b3ce191439619bcb_images.jpg
Product VU8T1,Group B,Type Z,Franchise C,M,0.1,300000,821.9178082,Country A,Channel X,10,345,0.05,3402.5,820.4545455,82.04545455,28-07-2022,http://assets.myntassets.com/v1/images/style/properties/fe446adf94f9beb301b61bfc75a70bfa_images.jpg
Product XDC4J,Group A,Type Z,Franchise B,M,0.2,200000,547.9452055,Country A,Channel Y,30,275,0.05,3212.5,593.75,118.75,10-10-2022,http://assets.myntassets.com/v1/images/style/properties/0be6693dafb4261645b22c6e9e7e67f4_images.jpg
Product A9EJ7,Group A,Type Z,Franchise A,M,0.3,100000,273.9726027,Country B,Channel Z,10,304,0.15,2959,353.0769231,105.9230769,20-07-2022,http://assets.myntassets.com/v1/images/style/properties/Image-Men-Classic-Eyewear-Black-Sunglasses_a37f3b87d0d05062ed063adc7aac78bf_images.jpg
Product RZZ7E,Group C,Type Y,Franchise B,M,0.3,300000,821.9178082,Country C,Channel Z,20,260,0.15,2670,130.7692308,39.23076923,01-03-2022,http://assets.myntassets.com/v1/images/style/properties/69482728a521cbd2ba571e36016d5f63_images.jpg
Product MY88T,Group C,Type X,Franchise A,M,0.1,100000,273.9726027,Country B,Channel X,30,327,0.05,4694.5,1995,199.5,04-07-2022,http://assets.myntassets.com/v1/images/style/properties/8d7f0bbb0bdefcbcc692bcdf4a6400ee_images.jpg
Product EQTVL,Group C,Type Y,Franchise B,M,0.2,200000,547.9452055,Country B,Channel X,20,308,0.05,3602,918.3333333,183.6666667,17-04-2022,http://assets.myntassets.com/v1/images/style/properties/c5c095c0e09eb200aa8d57457c53ec07_images.jpg
Product OML1Q,Group A,Type Z,Franchise C,M,0.3,300000,821.9178082,Country C,Channel X,10,316,0.05,3127,482.3076923,144.6923077,29-09-2022,http://assets.myntassets.com/v1/images/style/properties/647838a2e988ab55b76c9aa9ddd15ad7_images.jpg
Product 6R7VI,Group C,Type X,Franchise C,M,0.2,200000,547.9452055,Country B,Channel Y,10,251,0.1,2509,7.5,1.5,18-10-2022,http://assets.myntassets.com/v1/images/style/properties/aff52e6e6bc208923a493612e8f6a3e7_images.jpg
Product R6Y8R,Group A,Type Z,Franchise A,M,0.1,100000,273.9726027,Country C,Channel Y,20,257,0.1,2626,114.5454545,11.45454545,18-10-2022,http://assets.myntassets.com/v1/images/style/properties/80c170d3a8e46c81f22ecebd1f772d32_images.jpg
Product 86M4Y,Group A,Type Y,Franchise A,M,0.1,300000,821.9178082,Country B,Channel X,20,347,0.1,4246,1587.272727,158.7272727,11-12-2022,http://assets.myntassets.com/v1/images/style/properties/Streetwear-Ash-Nail-Polish--31_21d33100dbf0e4b8bb0b33a980de469b_images.jpg
Product U8FV4,Group C,Type X,Franchise C,M,0.1,300000,821.9178082,Country B,Channel Z,20,288,0.05,3222,656.3636364,65.63636364,29-08-2022,http://assets.myntassets.com/v1/images/style/properties/1847a81fa1d237bfbae1e797dff55909_images.jpg
Product 8B945,Group A,Type X,Franchise C,M,0.3,300000,821.9178082,Country A,Channel X,20,258,0.1,2644,110.7692308,33.23076923,06-10-2022,http://assets.myntassets.com/v1/images/style/properties/52ad8ae288ba080d88a116b3c70305ec_images.jpg
Product DAZK8,Group C,Type X,Franchise C,M,0.3,300000,821.9178082,Country B,Channel Z,20,267,0.15,2789,222.3076923,66.69230769,25-02-2022,http://assets.myntassets.com/v1/images/style/properties/Tonga-Women-Maroon-Top_e5cc855ba59e5640817434d45f9c088d_images.jpg
Product DRBF2,Group B,Type Z,Franchise B,M,0.2,300000,821.9178082,Country B,Channel Y,30,262,0.15,2806,255,51,04-04-2022,http://assets.myntassets.com/v1/images/style/properties/aeb9132a29d8844aca73a4544d8135c5_images.jpg
Product MCTTX,Group C,Type X,Franchise C,M,0.3,300000,821.9178082,Country A,Channel Z,30,297,0.15,3698.5,921.9230769,276.5769231,11-02-2022,http://assets.myntassets.com/v1/images/style/properties/cbc319393da4e3d0eb140d3c8a045d2c_images.jpg
Product E161G,Group C,Type X,Franchise C,M,0.2,100000,273.9726027,Country A,Channel X,30,305,0.15,3902.5,1168.75,233.75,31-08-2022,http://assets.myntassets.com/v1/images/style/properties/2d986dbf9e5f64e3ab8471120c557db4_images.jpg
Product 3BZKW,Group A,Type Y,Franchise A,M,0.3,100000,273.9726027,Country B,Channel Z,30,337,0.05,4979.5,1907.307692,572.1923077,09-04-2022,http://assets.myntassets.com/v1/images/style/properties/c5b0d7c1f0308be020655bc10ca16427_images.jpg
Product 2SYEC,Group C,Type Z,Franchise B,M,0.2,300000,821.9178082,Country B,Channel Z,10,308,0.05,3051,459.1666667,91.83333333,12-10-2022,http://assets.myntassets.com/v1/images/style/properties/07f0136ab41d3167b3d1e8b84cfc5107_images.jpg
Product 5M78R,Group A,Type Y,Franchise C,M,0.2,300000,821.9178082,Country C,Channel X,20,322,0.1,3796,1080,216,20-05-2022,http://assets.myntassets.com/v1/images/style/properties/b23f1e70aec0102c360fb9dfdc476023_images.jpg
Product XTVUS,Group C,Type Y,Franchise B,M,0.3,300000,821.9178082,Country A,Channel Y,10,282,0.15,2772,209.2307692,62.76923077,17-06-2022,http://assets.myntassets.com/v1/images/style/properties/SDL-by-Sweet-Dreams-Women-White-Pyjama-Set_debea45adf6bdb5816030e5d05b53d2f_images.jpg
Product LVQVX,Group A,Type Y,Franchise B,M,0.3,300000,821.9178082,Country B,Channel Z,30,270,0.15,3010,392.3076923,117.6923077,09-04-2022,http://assets.myntassets.com/v1/images/style/properties/7a1bc7d255671c7f4b85f1b1b35e945b_images.jpg
Product 4KRRA,Group C,Type X,Franchise A,M,0.2,300000,821.9178082,Country B,Channel Y,10,270,0.05,2690,158.3333333,31.66666667,28-02-2022,http://assets.myntassets.com/v1/images/style/properties/2965814bbf6d6a14e720c712941b323c_images.jpg
Product MI4TJ,Group B,Type Y,Franchise B,M,0.1,200000,547.9452055,Country C,Channel Z,30,253,0.05,2585.5,77.72727273,7.772727273,31-01-2022,http://assets.myntassets.com/v1/images/style/properties/c3a37f190933411b11c0fa488bc8bc4d_images.jpg
Product 1XG77,Group C,Type X,Franchise A,M,0.1,200000,547.9452055,Country B,Channel Y,10,285,0.1,2815,286.3636364,28.63636364,30-01-2022,http://assets.myntassets.com/v1/images/style/properties/dce310e4c15223a6c964631190263284_images.jpg
Product QUTFE,Group B,Type X,Franchise B,M,0.1,100000,273.9726027,Country B,Channel Z,30,296,0.1,3742,1129.090909,112.9090909,22-10-2022,http://assets.myntassets.com/v1/images/style/properties/ac5a2fb9462db16f4cf5fc0f3616a9e6_images.jpg
Product C35GZ,Group B,Type Z,Franchise C,M,0.3,300000,821.9178082,Country B,Channel Y,30,349,0.05,5321.5,2170.384615,651.1153846,07-05-2022,http://assets.myntassets.com/v1/images/style/properties/5059a8f382c53105f1bdce6780543934_images.jpg
Product 7B8I4,Group B,Type Z,Franchise C,M,0.3,200000,547.9452055,Country C,Channel X,20,272,0.15,2874,287.6923077,86.30769231,24-12-2022,http://assets.myntassets.com/v1/images/style/properties/1de1449cc15d68bc4e53fac49a1e0e18_images.jpg
